Icó,23140240,CEJA Ana Vieira Pinheiro
Icó,23140518,CERE Pe. José Alves de Macêdo
Icó,23140780,EEM Vivina Monteiro
Icó,23545720,EEEP Dep. José Walfrido Monteiro
Icó,23545755,EEM Prof. Miguel Porfirio de Lima
Cedro,23139471,EEEP Francisca de Albuquerque Moura
Cedro,23139382,Colégio Estadual Celso Araújo
Baixio,23149434,EEM Monsr. Horácio Teixeira
Umari,23151528,EEM Monsr. Manoel Carlos de Morais
Ipaumirim,23149795,EEM Dom Francisco de Assis Pires
Lavras da Mangabeira,23243023,EEEP Prof. Gustavo Augusto Lima
Lavras da Mangabeira,23150297,EEM Filgueiras Lima
Lavras da Mangabeira,23150173,EEM Alda Ferrer Augusto Dutra
Varzea Alegre,23545712,EEEP Dr. José Iran Costa
Varzea Alegre,23148543,EEM Prof. Maria Afonsina Diniz Macêdo
Varzea Alegre,23148349,EEM José Correia Lima